checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
unknown,24,repaid,new vehicle,7393,< $500,1 - 4 yrs,1,single male,none,4,building society savings,43,none,own,1,1,2,none,yes,unskilled resident
< $0,24,fully repaid this bank,new vehicle,1193,< $500,unemployed,1,female,co-applicant,4,unknown,29,none,rent,2,2,1,none,yes,unemployed non-resident
< $0,60,repaid,business,7297,< $500,> 7 yrs,4,single male,co-applicant,4,unknown,36,none,rent,1,2,1,none,yes,skilled employee
unknown,30,critical,electronics/home entertainment,2831,< $500,1 - 4 yrs,4,female,none,2,other,33,none,own,1,1,1,yes,yes,skilled employee
> $1000,24,repaid,electronics/home entertainment,1258,$501 - $1000,1 - 4 yrs,3,female,none,3,other,57,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,6,repaid,electronics/home entertainment,753,< $500,1 - 4 yrs,2,female,guarantor,3,real estate,64,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,18,delayed,business,2427,unknown,> 7 yrs,4,single male,none,2,building society savings,42,none,own,2,1,1,none,yes,skilled employee
unknown,24,delayed,new vehicle,2538,< $500,> 7 yrs,4,single male,none,4,other,47,none,own,2,2,2,none,yes,unskilled resident
$1 - $1000,15,fully repaid this bank,new vehicle,1264,$1001 - $2000,1 - 4 yrs,2,married male,none,2,building society savings,25,none,rent,1,2,1,none,yes,skilled employee
$1 - $1000,30,critical,furniture,8386,< $500,4 - 7 yrs,2,single male,none,2,building society savings,49,none,own,1,2,1,none,yes,skilled employee
unknown,48,repaid,business,4844,< $500,unemployed,3,single male,none,2,other,33,bank,rent,1,2,1,yes,yes,mangement self-employed
> $1000,21,repaid,new vehicle,2923,$1001 - $2000,1 - 4 yrs,1,female,none,1,other,28,bank,own,1,1,1,yes,yes,mangement self-employed
< $0,36,repaid,used vehicle,8229,< $500,1 - 4 yrs,2,single male,none,2,building society savings,26,none,own,1,2,2,none,yes,skilled employee
unknown,24,critical,furniture,2028,< $500,4 - 7 yrs,2,single male,none,2,building society savings,30,none,own,2,1,1,none,yes,unskilled resident
< $0,15,critical,furniture,1433,< $500,1 - 4 yrs,4,female,none,3,building society savings,25,none,rent,2,1,1,none,yes,skilled employee
> $1000,42,fully repaid,business,6289,< $500,0 - 1 yrs,2,divorced male,none,1,building society savings,33,none,own,2,1,1,none,yes,skilled employee
unknown,13,repaid,electronics/home entertainment,1409,$1001 - $2000,unemployed,2,female,none,4,real estate,64,none,own,1,1,1,none,yes,skilled employee
< $0,24,repaid,used vehicle,6579,< $500,unemployed,4,single male,none,2,unknown,29,none,for free,1,1,1,yes,yes,mangement self-employed
$1 - $1000,24,critical,electronics/home entertainment,1743,< $500,> 7 yrs,4,single male,none,2,building society savings,48,none,own,2,1,1,none,yes,unskilled resident
unknown,12,critical,education,3565,unknown,0 - 1 yrs,2,single male,none,1,building society savings,37,none,own,2,1,2,none,yes,unskilled resident
unknown,15,fully repaid this bank,electronics/home entertainment,1569,$1001 - $2000,> 7 yrs,4,single male,none,4,other,34,bank,own,1,1,2,none,yes,unskilled resident
< $0,18,repaid,electronics/home entertainment,1936,unknown,4 - 7 yrs,2,married male,none,4,other,23,none,rent,2,1,1,none,yes,unskilled resident
< $0,36,repaid,furniture,3959,< $500,unemployed,4,single male,none,3,building society savings,30,none,own,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,new vehicle,2390,unknown,> 7 yrs,4,single male,none,3,other,50,none,own,1,1,1,yes,yes,skilled employee
unknown,12,repaid,furniture,1736,< $500,4 - 7 yrs,3,female,none,4,real estate,31,none,own,1,1,1,none,yes,unskilled resident
< $0,30,repaid,used vehicle,3857,< $500,1 - 4 yrs,4,divorced male,none,4,building society savings,40,none,own,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,electronics/home entertainment,804,< $500,> 7 yrs,4,single male,none,4,other,38,none,own,1,1,1,none,yes,skilled employee
< $0,45,repaid,electronics/home entertainment,1845,< $500,1 - 4 yrs,4,single male,none,4,unknown,23,none,for free,1,2,1,yes,yes,skilled employee
$1 - $1000,45,critical,used vehicle,4576,$1001 - $2000,unemployed,3,single male,none,4,other,27,none,own,1,1,1,none,yes,skilled employee
